week,n,pct_pos,pct_neu,pct_neg,net_sentiment,ci_low,ci_high,low_confidence,aspect
2025-07-27 00:00:00+00:00,62,0.3064516129032258,0.3225806451612903,0.3709677419354839,-0.06451612903225806,-0.27419354838709675,0.14516129032258066,False,entretenimiento
2025-08-03 00:00:00+00:00,21,0.14285714285714285,0.3333333333333333,0.5238095238095238,-0.38095238095238093,-0.6666666666666666,-0.047619047619047616,True,entretenimiento
2025-08-10 00:00:00+00:00,2,0.5,0.0,0.5,0.0,,,True,entretenimiento
2025-08-17 00:00:00+00:00,36,0.3055555555555556,0.4444444444444444,0.25,0.05555555555555555,-0.19444444444444445,0.3055555555555556,False,entretenimiento
2025-08-24 00:00:00+00:00,64,0.1875,0.3125,0.5,-0.3125,-0.5,-0.125,False,entretenimiento
2025-08-31 00:00:00+00:00,25,0.16,0.2,0.64,-0.48,-0.76,-0.16,True,entretenimiento
2025-09-07 00:00:00+00:00,9,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.3333333333333333,-0.2222222222222222,0.7777777777777778,True,entretenimiento
2025-09-14 00:00:00+00:00,45,0.5777777777777777,0.24444444444444444,0.17777777777777778,0.4,0.15555555555555556,0.6222222222222222,False,entretenimiento
2025-09-21 00:00:00+00:00,108,0.32407407407407407,0.48148148148148145,0.19444444444444445,0.12962962962962962,0.0,0.26851851851851855,False,entretenimiento
2025-09-28 00:00:00+00:00,55,0.509090909090909,0.38181818181818183,0.10909090909090909,0.4,0.21818181818181817,0.5636363636363636,False,entretenimiento
2025-10-05 00:00:00+00:00,9,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.1111111111111111,1.0,True,entretenimiento
2025-10-12 00:00:00+00:00,50,0.24,0.48,0.28,-0.04,-0.24,0.16,False,entretenimiento
2025-10-19 00:00:00+00:00,8,0.625,0.375,0.0,0.625,0.25,0.875,True,entretenimiento
2025-10-26 00:00:00+00:00,11,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.09090909090909091,-0.45454545454545453,0.5454545454545454,True,entretenimiento
2025-11-02 00:00:00+00:00,26,0.4230769230769231,0.11538461538461539,0.46153846153846156,-0.038461538461538464,-0.38461538461538464,0.3076923076923077,True,entretenimiento
2025-11-09 00:00:00+00:00,17,0.4117647058823529,0.17647058823529413,0.4117647058823529,0.0,-0.4117647058823529,0.4117647058823529,True,entretenimiento
